productNo,category,brand,name,pricePerQuantity,mrp,price,description,img,available,createdAt
216, Ghee,Ghee ,Chitale Dairy Ghee Box,1 Litre,550.00,533.00,Chitale Dairy Ghee Box,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
217, Ghee,Ghee ,Amul Pure Ghee Jar,500 ml,265.00,257.00,Amul Pure Ghee Jar,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
218, Ghee,Ghee ,Amul Cow Ghee Tin,5 Litre,2550.00,2370.00,Amul Cow Ghee Tin,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
219, Ghee,Ghee ,Amul Cow Ghee Tin,1 Litre,535.00,500.00,Amul Cow Ghee Tin,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
220, Ghee,Ghee ,Gowardhan Cow Ghee Tin,5 Litre,2900.00,2582.00,Gowardhan Cow Ghee Tin,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
221,Vanaspati ,Vanaspati ,Dalda Vanaspati ,1 Litre,150.00,111.00,Dalda Vanaspati ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
222,Vanaspati ,Vanaspati ,Godrej Vanaspati,1 Litre,150.00,119.00,Godrej Vanaspati,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
223,Salt,Salt,Tata Salt - Evaporated Iodised, 1 kg,20.00,18.00,Tata Salt - Evaporated Iodised,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
224,Salt,Salt,Puro Healthy Salt , 1 kg,110.00,99.00,Puro Healthy Salt ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
225,Salt,Salt,Tata Salt Lite - Low Sodium Iodised, 1 kg,40.00,36.00,Tata Salt Lite - Low Sodium Iodised,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
226,Salt,Salt,Aashirvaad Salt, 1 kg,20.00,16.00,Aashirvaad Salt,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
227,Salt,Salt,Tata Rock Salt Crusher,100 gms,130.00,117.00,Tata Rock Salt Crusher,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
228,Salt,Salt,Satyam Sindhav Powder,100 gms,14.00,8.00,Satyam Sindhav Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
229,Sugar, Sugar,Premia Sugar, 1 kg,53.00,48.00,Premia Sugar,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
230,Sugar, Sugar,Premia Sugar, 5 kg,259.00,223.00,Premia Sugar,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
231,Sugar, Sugar,24 Mantra Organic Sugar, 1 kg,135.00,114.00,24 Mantra Organic Sugar,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
232,Sugar, Sugar,Sugar Free Gold Pellets,  500 Pellets,250.00,221.00,Sugar Free Gold Pellets,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
233,Sugar, Sugar,Sugar Free Natura Pellets,  500 Pellets,300.00,264.00,Sugar Free Natura Pellets,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
234,Sugar, Sugar,Sugar Free Natura Powder ,100 gms,150.00,135.00,Sugar Free Natura Powder ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
235,Sugar, Sugar,Sugar Free Gold Powder,100 gms,140.00,112.00,Sugar Free Gold Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
236,Sugar, Sugar,Organic Tattva Brown Sugar,500 gms,75.00,60.00,Organic Tattva Brown Sugar,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
237,Sugar, Sugar,Sugar Free Natura Diet Sugar,80 gms,240.00,205.00,Sugar Free Natura Diet Sugar,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
238,Sugar, Sugar,Sugar Free Natura Sweet Drops ,200 Drops,140.00,125.00,Sugar Free Natura Sweet Drops ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
239,Sugar, Sugar,Premia Sugar Crystals (Khadi Shakkar) ,200 gms,17.00,14.00,Premia Sugar Crystals (Khadi Shakkar) ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
240,Sugar, Sugar,Sugar Free Gold Sachets,25 Sachets,44.00,39.00,Sugar Free Gold Sachets,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
241,Sugar, Sugar,Premia Sakariya,200 gms,17.00,14.00,Premia Sakariya,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
242,Sugar, Sugar,Nutrivalue Stevia Leaves - Natural Sweetener , 50 gms,130.00,96.00,Nutrivalue Stevia Leaves - Natural Sweetener ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
243,Sugar, Sugar,Avanti Sugar Cubes,  126 Cubes,68.00,62.00,Avanti Sugar Cubes,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
244,Sugar, Sugar,Blue Bird Castor Sugar,200 gms,35.00,29.00,Blue Bird Castor Sugar,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
245,Jaggery,Jaggery,Mast Mast Premium Jaggery,900 gms,80.00,64.00,Mast Mast Premium Jaggery,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
246,Jaggery,Jaggery,Keshar Premium Natural Jaggery Jar,900 gms,100.00,91.00,Keshar Premium Natural Jaggery Jar,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
247,Jaggery,Jaggery,Jaggery,450 gms,40.00,33.00,Jaggery,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
248,Jaggery,Jaggery,24 Mantra Organic Jaggery Powder,500 gms,80.00,68.00,24 Mantra Organic Jaggery Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
249,Powdered Spices,Powdered Spices,Everest Pav Bhaji Masala,100 gms,66.00,59.00,Everest Pav Bhaji Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
250,Powdered Spices,Powdered Spices,Everest Garam Masala,100 gms,78.00,70.00,Everest Garam Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
251,Powdered Spices,Powdered Spices,Everest Chaat Masala,100 gms,62.00,55.00,Everest Chaat Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
252,Powdered Spices,Powdered Spices,Ramdev Strong Hing,50 gms,125.00,106.00,Ramdev Strong Hing,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
253,Powdered Spices,Powdered Spices,Ramdev Strong Hing,100 gms,230.00,194.00,Ramdev Strong Hing,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
254,Powdered Spices,Powdered Spices,Premia Kashmiri Chilli Powder Deluxe,100 gms,42.00,36.00,Premia Kashmiri Chilli Powder Deluxe,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
255,Powdered Spices,Powdered Spices,Premia Kashmiri Chilli Powder Deluxe,200 gms,81.00,69.00,Premia Kashmiri Chilli Powder Deluxe,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
256,Powdered Spices,Powdered Spices,Premia Kashmiri Chilli Powder Deluxe,500 gms,195.00,140.00,Premia Kashmiri Chilli Powder Deluxe,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
257,Powdered Spices,Powdered Spices,Everest Tikhalal Chilli Powder,100 gms,38.00,34.00,Everest Tikhalal Chilli Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
258,Powdered Spices,Powdered Spices,Everest Tikhalal Chilli Powder,200 gms,76.00,68.00,Everest Tikhalal Chilli Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
259,Powdered Spices,Powdered Spices,Everest Tikhalal Chilli Powder,500 gms,185.00,172.00,Everest Tikhalal Chilli Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
260,Powdered Spices,Powdered Spices,Vandevi Hing Powder,50 gms,65.00,52.00,Vandevi Hing Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
261,Powdered Spices,Powdered Spices,Vandevi Hing Powder,100 gms,130.00,65.00,Vandevi Hing Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
262,Powdered Spices,Powdered Spices,Everest Kashmirilal Red Chilli Powder,100 gms,58.00,52.00,Everest Kashmirilal Red Chilli Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
263,Powdered Spices,Powdered Spices,Premia Haldi Powder Deluxe ,200 gms,32.00,29.00,Premia Haldi Powder Deluxe ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
264,Powdered Spices,Powdered Spices,Premia Haldi Powder Deluxe ,500.00,71.00,61.00,Premia Haldi Powder Deluxe ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
265,Powdered Spices,Powdered Spices,Everest Kitchen King Masala ,100 gms,65.00,58.00,Everest Kitchen King Masala ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
266,Powdered Spices,Powdered Spices,Premia Kashmiri Chilli Powder,1 kg,368.00,313.00,Premia Kashmiri Chilli Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
267,Powdered Spices,Powdered Spices,Premia Coconut Powder,200 gms,74.00,62.00,Premia Coconut Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
268,Powdered Spices,Powdered Spices,Everest Turmeric Powder,200 gms,56.00,50.00,Everest Turmeric Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
269,Powdered Spices,Powdered Spices,Everest Turmeric Powder,500 gms,135.00,121.00,Everest Turmeric Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
270,Powdered Spices,Powdered Spices,Everest Coriander Powder,200 gms,56.00,50.00,Everest Coriander Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
271,Powdered Spices,Powdered Spices,Premia Garam Masala Powder Deluxe ,100 gms,56.00,51.00,Premia Garam Masala Powder Deluxe ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
272,Powdered Spices,Powdered Spices,Premia Dhania Powder DeluxeSweetener , 500 gms,79.00,72.00,Premia Dhania Powder DeluxeSweetener ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
273,Powdered Spices,Powdered Spices,LG Hing,100 gms,154.00,143.00,LG Hing,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
274,Powdered Spices,Powdered Spices,LG Hing, 500 gms,304.00,272.00,LG Hing,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
275,Powdered Spices,Powdered Spices,Badshah Hing Compounded,50 gms,75.00,37.00,Badshah Hing Compounded,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
276,Powdered Spices,Powdered Spices,Everest Chicken Masala,50 gms,38.00,34.00,Everest Chicken Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
277,Powdered Spices,Powdered Spices,Snapin Chilli Flakes Spice,35 gms,65.00,53.00,Snapin Chilli Flakes Spice,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
278,Powdered Spices,Powdered Spices,Premia Black Pepper Powder, 100 gms,83.00,75.00,Premia Black Pepper Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
279,Powdered Spices,Powdered Spices,Everest Tea Masala,100 gms,98.00,88.00,Everest Tea Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
280,Powdered Spices,Powdered Spices,Premia Malwani Masala Deluxe,200 gms,78.00,67.00,Premia Malwani Masala Deluxe,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
281,Powdered Spices,Powdered Spices,Everest Meat Masala,100 gms,72.00,64.00,Everest Meat Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
282,Powdered Spices,Powdered Spices,"MTR Sambar Powder
", 200 gms,110.00,105.00,"MTR Sambar Powder
",,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
283,Powdered Spices,Powdered Spices,Premia Jeera Powder Deluxe,100 gms,75.00,37.00,Premia Jeera Powder Deluxe,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
284,Powdered Spices,Powdered Spices,Premia Jeera Powder Deluxe,200 gms,72.00,64.00,Premia Jeera Powder Deluxe,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
285,Powdered Spices,Powdered Spices,Premia Dhania Powder ,200 gms,35.00,32.00,Premia Dhania Powder ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
286,Powdered Spices,Powdered Spices,Everest Sambhar Masala,50 gms,34.00,30.00,Everest Sambhar Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
287,Powdered Spices,Powdered Spices,Everest Sambhar Masala,100 gms,63.00,58.00,Everest Sambhar Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
288,Powdered Spices,Powdered Spices,Premia Red Chilli Powder,100 gms,26.00,23.00,Premia Red Chilli Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
289,Powdered Spices,Powdered Spices,Premia Red Chilli Powder,200 gms,48.00,44.00,Premia Red Chilli Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
290,Powdered Spices,Powdered Spices,Premia Red Chilli Powder,500 gms,113.00,97.00,Premia Red Chilli Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
291,Powdered Spices,Powdered Spices,Premia Yellow Hing Powder,50 gms,50.00,29.00,Premia Yellow Hing Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
292,Powdered Spices,Powdered Spices,Premia Ginger Powder,100 gms,48.00,44.00,Premia Ginger Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
293,Powdered Spices,Powdered Spices,Everest Tandoori Chicken Masala,100 gms,72.00,64.00,Everest Tandoori Chicken Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
294,Powdered Spices,Powdered Spices,"Premia Sunday Mix Masala 
", 200 gms,74.00,63.00,"Premia Sunday Mix Masala 
",,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
295,Powdered Spices,Powdered Spices,Premia Yellow Hing Powder,50 gms,50.00,29.00,Premia Yellow Hing Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
296,Powdered Spices,Powdered Spices,Everest Chhole Masala,50 gms,33.00,29.00,Everest Chhole Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
297,Powdered Spices,Powdered Spices,Everest Chhole Masala,100 gms,63.00,58.00,Everest Chhole Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
298,Powdered Spices,Powdered Spices,Premia Amchur Powder,100 gms,40.00,25.00,Premia Amchur Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
299,Powdered Spices,Powdered Spices,Badshah Mumbai Bhaji Pav Masala,100 gms,72.00,62.00,Badshah Mumbai Bhaji Pav Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
300,Powdered Spices,Powdered Spices,Eastern Kashmiri Chilly Powder,500 gms,184.00,165.00,Eastern Kashmiri Chilly Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
301,Powdered Spices,Powdered Spices,Everest Kuti Chilli Powder,100 gms,38.00,34.00,Everest Kuti Chilli Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
302,Powdered Spices,Powdered Spices,Badshah Rajwadi Garam Masala,100 gms,81.00,70.00,Badshah Rajwadi Garam Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
303,Powdered Spices,Powdered Spices,"Snapin Cardamom Powder Spice 
",40 gms,379.00,307.00,"Snapin Cardamom Powder Spice 
",,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
304,Powdered Spices,Powdered Spices,MTR Idli/Dosa/Chilly Chutney Powder,200 gms,105.00,98.00,MTR Idli/Dosa/Chilly Chutney Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
305,Powdered Spices,Powdered Spices,Ramdev Chilli Powder,200 gms,79.00,70.00,Ramdev Chilli Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
306,Powdered Spices,Powdered Spices,Ramdev Turmeric Powder,200 gms,52.00,46.00,Ramdev Turmeric Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
307,Powdered Spices,Powdered Spices,Badshah Biryani Pulav Masala,100 gms,110.00,84.00,Badshah Biryani Pulav Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
308,Powdered Spices,Powdered Spices,Tata Sampann Turmeric Powder,200 gms,62.00,53.00,Tata Sampann Turmeric Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
309,Powdered Spices,Powdered Spices,Premia Dhania Jeera Mix Khandela,100 gms,21.00,18.00,Premia Dhania Jeera Mix Khandela,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
310,Powdered Spices,Powdered Spices,Premia Dhania Jeera Mix Khandela,200 gms,39.00,36.00,Premia Dhania Jeera Mix Khandela,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
311,Powdered Spices,Powdered Spices,Eastern Coriander Powder ,500 gms,137.00,122.00,Eastern Coriander Powder ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
312,Powdered Spices,Powdered Spices,Eastern Chilli Powder ,500 gms,157.00,110.00,Eastern Chilli Powder ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
313,Powdered Spices,Powdered Spices,Everest Yellow Hing Powder ,100 gms,130.00,117.00,Everest Yellow Hing Powder ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
314,Powdered Spices,Powdered Spices,"Goldiee Garam Masala
",100 gms,70.00,35.00,"Goldiee Garam Masala
",,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
315,Powdered Spices,Powdered Spices,Badshah Chat Masala,100 gms,62.00,53.00,Badshah Chat Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
316,Powdered Spices,Powdered Spices,Snapin Cinnamon Powder Spice,40 gms,99.00,81.00,Snapin Cinnamon Powder Spice,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
317,Powdered Spices,Powdered Spices,Goldiee Kashmiri Mirch Powder,100 gms,74.00,37.00,Goldiee Kashmiri Mirch Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
318,Powdered Spices,Powdered Spices,Suhana A-1 Kanda Lasoon Masala,200 gms,61.00,49.00,Suhana A-1 Kanda Lasoon Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
319,Powdered Spices,Powdered Spices,Goldiee Chat Masala ,100 gms,50.00,25.00,Goldiee Chat Masala ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
320,Powdered Spices,Powdered Spices,Suhana Paneer Butter Masala Mix,50 gms,40.00,30.00,Suhana Paneer Butter Masala Mix,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
321,Powdered Spices,Powdered Spices,Suhana Chicken Biryani Mix,50 gms,40.00,29.00,Suhana Chicken Biryani Mix,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
322,Powdered Spices,Powdered Spices,Ramdev Coriander Powder,200 gms,62.00,55.00,Ramdev Coriander Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
323,Powdered Spices,Powdered Spices,"MDH Chunky Chat Masala
",100 gms,63.00,56.00,"MDH Chunky Chat Masala
",,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
324,Powdered Spices,Powdered Spices,Badshah Punjabi Chhole Masala,100 gms,61.00,53.00,Badshah Punjabi Chhole Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
325,Powdered Spices,Powdered Spices,Everest Sabji Masala,50 gms,29.00,26.00,Everest Sabji Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
326,Powdered Spices,Powdered Spices,Everest Sabji Masala,100 gms,54.00,48.00,Everest Sabji Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
327,Powdered Spices,Powdered Spices,MDH Garam Masala,100 gms,78.00,70.00,MDH Garam Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
328,Powdered Spices,Powdered Spices,Badshah Kitchen King Masala ,100 gms,67.00,55.00,Badshah Kitchen King Masala ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
329,Powdered Spices,Powdered Spices,Goldiee Chicken Masala,100 gms,58.00,29.00,Goldiee Chicken Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
330,Powdered Spices,Powdered Spices,Suhana Paneer Tikka Mix Masala,50 gms,40.00,29.00,Suhana Paneer Tikka Mix Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
331,Powdered Spices,Powdered Spices,Snapin Ginger Garlic Mix Seasoning,35 gms,79.00,65.00,Snapin Ginger Garlic Mix Seasoning,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
332,Powdered Spices,Powdered Spices,"MDH Chana Masala
",100 gms,63.00,56.00,"MDH Chana Masala
",,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
333,Powdered Spices,Powdered Spices,Goldiee Pavbhaji Masala,100 gms,54.00,27.00,Goldiee Pavbhaji Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
334,Powdered Spices,Powdered Spices,Eastern Sambar Powder,100 gms,52.00,34.00,Eastern Sambar Powder,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
335,Powdered Spices,Powdered Spices,MDH Kitchen King Masala,100 gms,62.00,60.00,MDH Kitchen King Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
336,Powdered Spices,Powdered Spices,Suhana Chicken Gravy Mix,80 gms,45.00,32.00,Suhana Chicken Gravy Mix,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
337,Powdered Spices,Powdered Spices,Badshah Chicken Masala,100 gms,73.00,63.00,Badshah Chicken Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
338,Powdered Spices,Powdered Spices,Eastern Garam Masala,100 gms,85.00,53.00,Eastern Garam Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
339,Powdered Spices,Powdered Spices,Badshah Dry Mango Powder ,50 gms,39.00,34.00,Badshah Dry Mango Powder ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
340,Powdered Spices,Powdered Spices,MDH Pav Bhaji Masala,100 gms,64.00,56.00,MDH Pav Bhaji Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
341,Powdered Spices,Powdered Spices,Eastern Chicken Masala,100 gms,70.00,46.00,Eastern Chicken Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
342,Powdered Spices,Powdered Spices,Kubal Sunday Malvani Masala,200 gms,130.00,65.00,Kubal Sunday Malvani Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
343,Powdered Spices,Powdered Spices,Snapin Ginger Garlic Mix Seasoning,35 gms,79.00,65.00,Snapin Ginger Garlic Mix Seasoning,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
344,Powdered Spices,Powdered Spices,"Goldiee Sabji Masala
",100 gms,54.00,27.00,"Goldiee Sabji Masala
",,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
345,Powdered Spices,Powdered Spices,Suhana Paneer Makhanwala Mix Masala,50 gms,40.00,29.00,Suhana Paneer Makhanwala Mix Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
346,Powdered Spices,Powdered Spices,MDH Shahi Paneer Masala,100 gms,80.00,71.00,MDH Shahi Paneer Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
347,Powdered Spices,Powdered Spices,MDH Deggi Mirch,100 gms,65.00,53.00,MDH Deggi Mirch,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
348,Powdered Spices,Powdered Spices,Goldiee Chhole Masala,100 gms,70.00,35.00,Goldiee Chhole Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
349,Powdered Spices,Powdered Spices,Goldiee Meat Masala Special,100 gms,72.00,36.00,Goldiee Meat Masala Special,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
350,Powdered Spices,Powdered Spices,Snapin Kashmiri Chilli Paprika,40gms,79.00,65.00,Snapin Kashmiri Chilli Paprika,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
351,Powdered Spices,Powdered Spices,Kubal Coriander Powder ,500 gms,155.00,77.00,Kubal Coriander Powder ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
352,Powdered Spices,Powdered Spices,Badshah Chana Masala,100 gms,66.00,51.00,Badshah Chana Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
353,Powdered Spices,Powdered Spices,Tata I-Shakti Cooking Soda,100 gms,15.00,13.00,Tata I-Shakti Cooking Soda,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
354,Powdered Spices,Powdered Spices,Kubal Chilli Powder ,500 gms,175.00,75.00,Kubal Chilli Powder ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
355,Powdered Spices,Powdered Spices,Kubal Turmeric Powder ,500 gms,140.00,70.00,Kubal Turmeric Powder ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
356,Powdered Spices,Powdered Spices,MDH Chicken Masala,100 gms,67.00,60.00,MDH Chicken Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
357,Powdered Spices,Powdered Spices,Kapol Tea Masala,100 gms,210.00,189.00,Kapol Tea Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
358,Powdered Spices,Powdered Spices,"Eastern Hyderabadi Biryani Mix
",60 gms,45.00,30.00,"Eastern Hyderabadi Biryani Mix
",,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
359,Powdered Spices,Powdered Spices,Premia Dhania Khandela,100 gms,19.00,17.00,Premia Dhania Khandela,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
360,Powdered Spices,Powdered Spices,Suhana Mutton Gravy Mix ,80 gms,45.00,35.00,Suhana Mutton Gravy Mix ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
361,Powdered Spices,Powdered Spices,Kapol Usal - Misal Masala,50 gms,50.00,46.00,Kapol Usal - Misal Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
362,Powdered Spices,Powdered Spices,Kubal SP Mix Usal Masala,200 gms,110.00,55.00,Kubal SP Mix Usal Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
363,Powdered Spices,Powdered Spices,Kapol Sandwich Masala,50 gms,45.00,40.00,Kapol Sandwich Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
364,Powdered Spices,Powdered Spices,Kapol Dabeli Masala,50gms,50.00,46.00,Kapol Dabeli Masala,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
365,Powdered Spices,Powdered Spices,"Blue Bird Test-Mi-Nov Monosodium Glutamate
",25 gms,25.00,22.00,"Blue Bird Test-Mi-Nov Monosodium Glutamate
",,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
366,Powdered Spices,Powdered Spices,Patanjali Chatpata Atta Noodles,240 gms,40.00,40.00,Patanjali Chatpata Atta Noodles,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
